dm_paired_value	dm_paired_value_reference	Timepoint_reference	ResponseMint_reference	ENC_Timepoint_is_1_2	ENC_Timepoint_is_2_3	ENC_Timepoint_is_3_4	ENC_Timepoint_is_4_5	ENC_FarmLocation_is_Boulder_Boulder	ENC_FarmLocation_is_Farm2_Farm2	ENC_FarmLocation_reference_is_Boulder	ENC_FarmLocation_reference_is_Farm2	ENC_PlotName_is_P1_P1	ENC_PlotName_is_P2_P2	ENC_PlotName_is_P3_P3	ENC_PlotName_reference_is_P1	ENC_PlotName_reference_is_P2	ENC_PlotName_reference_is_P3	ENC_Sunlight_is_PartialSun_PartialSun	ENC_Sunlight_is_Shade_Shade	ENC_Sunlight_is_Sunny_Sunny	ENC_Sunlight_reference_is_PartialSun	ENC_Sunlight_reference_is_Shade	ENC_Sunlight_reference_is_Sunny	ENC_OutreachProgram_is_A_A	ENC_OutreachProgram_is_A_B	ENC_OutreachProgram_is_B_A	ENC_OutreachProgram_is_B_B	ENC_OutreachProgram_reference_is_A	ENC_OutreachProgram_reference_is_B	ENC_FertilizerLBrand_is_B1_B1	ENC_FertilizerLBrand_is_B1_B2	ENC_FertilizerLBrand_is_B2_B2	ENC_FertilizerLBrand_reference_is_B1	ENC_FertilizerLBrand_reference_is_B2	ENC_DailyWeatherOfficial_is_Microburst_Windy	ENC_DailyWeatherOfficial_is_Windy_Microburst	ENC_DailyWeatherOfficial_is_Windy_Windy	ENC_DailyWeatherOfficial_reference_is_Microburst	ENC_DailyWeatherOfficial_reference_is_Windy
0.523375621	0.523375621	1	650	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1
0.648930527	0.648930527	2	1250	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1
0.650358416	0.650358416	3	1550	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0
0.556297406	0.556297406	4	4350	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1
0.6013798579999999	0.6013798579999999	1	550	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1
0.46750592399999996	0.46750592399999996	2	950	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1
0.738044046	0.738044046	3	1950	0	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1
0.750366469	0.750366469	4	2750	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0
0.652821077	0.652821077	1	450	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1
0.677586735	0.677586735	2	850	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1
0.6311269389999999	0.6311269389999999	3	1450	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1
0.593226514	0.593226514	4	2750	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1
0.633910729	0.633910729	1	550	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1
0.647016684	0.647016684	2	850	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1
0.6478802920000001	0.6478802920000001	3	1450	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1
0.593447567	0.593447567	4	2650	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	1
0.46859806299999995	0.46859806299999995	1	350	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1
0.5679412629999999	0.5679412629999999	2	550	0	1	0	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1
0.649103314	0.649103314	3	250	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0
0.689837813	0.689837813	4	1850	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1
